pseudogene_id	chrom	start	end	strand	parent_protein	frameshifts	insertions	deletions	stop_codons	exon_count	coverage	identity	evalue
PG99	BK010421.1	311756	311845	-	AEE30923.1	0	0	0	0	1	0.59	0.65	1.8e-09
PG100	BK010421.1	313975	314291	-	AEE77658.1	1	1	5	0	1	0.18	0.35	1.1e-14
PG101	BK010421.1	314954	314995	+	ANM61967.1	0	0	0	0	1	0.47	0.87	1.1e-08
PG102	BK010421.1	319107	319927	-	AEC06076.1	0	1	0	1	3	0.99	0.87	3.3e-49
PG103	BK010421.1	319999	321294	+	ANM66829.1	2	5	6	0	1	0.42	0.42	5.8e-84
PG104	BK010421.1	322058	322695	-	AEC06077.1	0	0	0	0	2	0.99	1.00	5.2e-37
PG105	BK010421.1	329701	329862	-	AEC10711.1	0	0	0	1	1	0.36	0.55	7.3e-18
PG106	BK010421.1	331053	331624	-	ANM61972.1	2	22	0	0	1	0.99	0.90	1.4e-66
PG107	BK010421.1	331672	331830	-	DAB41497.2	0	0	0	0	1	0.10	0.94	2.4e-25
PG108	BK010421.1	332069	332125	-	AEC06063.1	0	0	0	0	1	0.22	1.00	1.3e-11
PG109	BK010421.1	332191	332922	-	AEC06062.1	0	2	17	0	1	0.99	0.69	2.5e-83
PG110	BK010421.1	336370	337242	+	ANM63001.1	0	0	0	0	3	0.80	0.98	4.5e-09
PG111	BK010421.1	344715	345108	+	BAA84377.1	1	3	0	1	1	0.12	0.95	2.6e-66
PG113	BK010421.1	347009	347293	+	AEC06088.1	0	0	2	2	1	0.12	0.31	0.0072
PG114	BK010421.1	359015	359527	+	ANM63155.1	0	1	18	0	1	0.58	0.55	1.3e-41
PG115	BK010421.1	359531	359935	+	ANM61971.1	0	3	0	0	1	0.81	0.48	8.6e-31
PG116	CP002684.1	306	665	+	AEC07641.2	0	3	3	0	1	0.57	0.32	6.6e-11
PG121	CP002684.1	165539	166138	-	AED94717.1	0	1	0	0	1	0.28	0.54	2.2e-61
PG123	CP002684.1	402249	402815	-	AEC10466.1	0	3	0	0	3	0.88	0.63	8.6e-16
PG124	CP002684.1	426060	426454	+	AEE74081.1	0	2	0	1	2	0.26	0.79	1.1e-11
PG125	CP002684.1	433025	433819	-	AEC08958.1	0	4	4	1	1	0.91	0.28	3.7e-30
PG126	CP002684.1	448216	448299	+	AEE27436.1	0	0	0	0	1	0.74	0.86	2.7e-14
PG127	CP002684.1	582425	582925	+	AED97508.1	2	5	7	0	2	0.95	0.82	1e-29
PG128	CP002684.1	583391	583942	+	AEC09207.1	0	11	5	0	1	0.74	0.28	3.4e-16
PG129	CP002684.1	660103	660405	-	AEE27499.1	2	4	4	3	1	0.40	0.65	4.5e-35
PG130	CP002684.1	671424	671684	+	AEE27508.1	2	2	0	0	1	0.17	0.80	4.2e-38
PG132	CP002684.1	874479	874826	+	AEE27636.1	0	0	0	0	1	0.25	0.97	3.7e-59
PG133	CP002684.1	889731	889850	-	AEE27544.1	0	0	0	0	1	0.98	0.71	4.4e-18
PG134	CP002684.1	893034	893928	+	ANM62881.1	1	14	8	1	2	0.64	0.46	1.6e-33
PG136	CP002684.1	1275783	1275881	-	AEE29991.2	0	0	0	2	1	0.12	0.71	8.3e-13
PG137	CP002684.1	1382658	1382987	-	AEE83305.1	0	7	0	0	1	0.18	0.35	1e-17
PG139	CP002684.1	1443923	1444303	-	AEE29616.1	0	0	0	2	1	0.17	0.79	2.7e-47
PG140	CP002684.1	1446795	1447171	-	AEC08779.1	4	4	0	1	1	0.15	0.56	1.7e-29
PG141	CP002684.1	1453266	1454331	-	AEC08707.1	9	16	32	4	2	0.88	0.66	1.3e-65
PG143	CP002684.1	1525227	1525318	-	AEC10463.1	1	1	0	0	1	0.12	0.81	3.6e-12
PG145	CP002684.1	1598341	1598532	-	AEE33723.1	0	0	0	0	1	0.22	0.49	1.3e-17
PG149	CP002684.1	1942945	1944028	-	ANM69508.1	3	7	8	1	4	0.53	0.74	4.6e-32
PG151	CP002684.1	2156500	2157134	-	AEE28070.1	0	0	3	1	2	0.45	0.62	3.1e-18
PG152	CP002684.1	2157232	2157659	-	AEE82388.1	0	1	0	1	2	0.50	0.61	2.3e-19
PG153	CP002684.1	2189324	2189527	+	AED94446.1	0	0	1	2	1	0.11	0.47	1.5e-17
PG155	CP002684.1	2415023	2415904	+	AEE77003.1	2	7	12	1	1	0.88	0.24	1.1e-11
PG157	CP002684.1	2465570	2465656	-	ANM58605.1	0	2	0	0	1	0.37	0.77	3e-11
PG158	CP002684.1	2531451	2531609	-	AEE31374.1	0	0	0	0	1	0.12	0.89	5.3e-31
PG159	CP002684.1	2532053	2533754	-	AEE77728.1	0	2	2	0	2	0.73	0.34	7e-59
PG160	CP002684.1	2657526	2657676	+	AEE86022.1	1	2	0	0	1	0.22	0.86	2.2e-20
PG161	CP002684.1	2791816	2793563	+	AEE32491.1	0	6	28	0	2	0.72	0.25	1.9e-21
PG162	CP002684.1	2795724	2799646	-	AEC06043.1	0	2	12	0	2	0.97	0.41	3.1e-27
PG163	CP002684.1	2799728	2800093	-	AEE31883.1	0	1	9	1	1	0.30	0.37	1.8e-18
PG167	CP002684.1	3057769	3057861	+	AEE34557.1	0	0	10	1	1	0.13	0.52	2.3e-11
PG168	CP002684.1	3062436	3063281	-	AEE28466.1	1	22	1	7	2	0.96	0.79	5.7e-39
PG170	CP002684.1	3195645	3195743	+	AEE29971.1	0	0	0	1	1	0.28	0.56	4.1e-15
PG171	CP002684.1	3328913	3329044	+	AED93887.1	0	0	0	0	1	0.10	0.67	8.5e-19
PG172	CP002684.1	3329671	3331161	+	AEE31993.1	0	0	0	0	2	0.72	0.69	1.4e-122
PG173	CP002684.1	3331189	3333219	+	AEE31992.1	0	1	4	1	3	0.99	0.66	8.7e-68
PG175	CP002684.1	3360909	3361334	-	AEE76453.1	0	6	2	1	1	0.34	0.27	7.9e-17
PG179	CP002684.1	3406151	3406507	-	AEE28581.1	0	0	8	0	1	0.84	0.27	6.4e-11
PG181	CP002684.1	3474525	3474858	+	AED96984.1	1	3	7	0	1	0.26	0.63	2.9e-35
PG182	CP002684.1	3482911	3483024	+	AEE27820.1	0	1	0	0	1	0.10	0.67	1.9e-13
PG183	CP002684.1	3496593	3496667	+	AEC09692.1	0	0	2	0	1	0.31	0.71	3.1e-11
PG184	CP002684.1	3546813	3547771	-	AEC07696.1	1	1	16	4	2	0.18	0.69	3.1e-22
PG185	CP002684.1	3557114	3557179	+	AEE28633.1	0	0	0	0	1	0.24	0.74	2.8e-10
PG186	CP002684.1	3630941	3632122	+	AEE34450.1	0	31	22	1	1	0.70	0.37	8.8e-33
PG187	CP002684.1	3728970	3730265	+	ANM65688.1	0	1	0	0	1	0.90	0.52	7.3e-117
PG188	CP002684.1	3730423	3731634	+	AEE28939.1	0	5	6	0	1	0.88	0.70	8.8e-144
PG189	CP002684.1	3823161	3823699	-	AEE28726.1	1	3	0	0	1	0.97	0.75	5.9e-68
PG190	CP002684.1	3861134	3861455	+	AEE28671.1	1	1	6	3	1	0.22	0.60	4.4e-28
PG191	CP002684.1	3867441	3868447	-	AED96497.1	2	11	13	1	2	0.88	0.47	2.4e-65
PG193	CP002684.1	3894690	3896899	+	AEE82357.1	0	19	0	2	2	0.99	0.77	7e-28
PG194	CP002684.1	3898631	3899839	+	AEE82360.1	0	0	0	0	5	0.84	0.87	1e-39
PG195	CP002684.1	3912095	3912700	+	AEE76686.1	0	7	10	3	1	0.50	0.27	1.5e-14
PG196	CP002684.1	3987766	3987948	-	AED92496.1	0	0	0	1	1	0.67	0.69	3.6e-26
PG197	CP002684.1	3988346	3989031	+	AEE83861.1	2	3	2	0	3	0.67	0.68	5.6e-19
PG201	CP002684.1	4246139	4246286	+	AEE27546.1	1	1	19	0	1	0.16	0.61	2.6e-12
PG203	CP002684.1	4315559	4316978	+	AEE28910.1	2	14	2	0	2	0.83	0.52	8.4e-21
PG205	CP002684.1	4330771	4332773	+	ANM60795.1	0	27	13	0	2	0.79	0.24	3.3e-31
PG206	CP002684.1	4333575	4334012	-	ANM62691.1	0	18	0	3	1	0.98	0.46	2.2e-14
PG207	CP002684.1	4386909	4387139	-	AEE28939.1	0	1	2	0	1	0.17	0.68	4.2e-23
PG208	CP002684.1	4455459	4457089	+	ANM65191.1	2	9	2	0	2	0.98	0.47	3.5e-59
PG209	CP002684.1	4481251	4481486	+	AEE77124.1	1	3	0	4	1	0.14	0.41	3.3e-13
PG210	CP002684.1	4505143	4505312	-	AEE28984.1	1	1	0	1	1	0.13	0.78	2.3e-22
PG211	CP002684.1	4505556	4505696	+	AEE28984.1	0	1	3	0	1	0.11	0.57	3.1e-13
PG213	CP002684.1	4612357	4612458	+	AEE77097.1	0	0	0	0	1	0.16	0.83	2e-17
PG214	CP002684.1	4627257	4633571	-	AEE29029.1	2	3	0	1	2	0.72	0.83	3.8e-63
PG215	CP002684.1	4683477	4685230	+	ANM65971.1	1	9	11	0	2	0.71	0.24	1.2e-17
PG217	CP002684.1	4772697	4772900	+	AEC05692.1	2	2	2	2	1	0.15	0.54	1.6e-16
PG218	CP002684.1	4818634	4820129	+	AEC06395.1	1	7	3	0	1	0.99	0.69	2.4e-166
PG219	CP002684.1	4825019	4827363	-	AEE29070.1	6	11	105	1	2	1.00	0.70	1.7e-159
PG220	CP002684.1	4832512	4832768	-	AEE29108.1	1	3	0	5	1	0.27	0.70	7.4e-28
PG221	CP002684.1	4842246	4842353	-	AEE79698.1	0	0	0	0	1	0.13	0.84	7.8e-16
PG222	CP002684.1	4931138	4937012	+	AEE28475.1	0	0	1	0	2	0.73	0.65	5.9e-88
PG224	CP002684.1	4997959	4998137	-	AEC05543.1	2	3	0	1	2	0.11	0.77	1.3e-13
PG225	CP002684.1	5025943	5026908	+	AEE29196.1	1	2	0	1	2	0.75	0.69	2.7e-21
PG226	CP002684.1	5098956	5099363	+	AEE29227.1	2	2	0	2	2	0.18	0.80	4.2e-20
PG228	CP002684.1	5223010	5223117	-	AEC05402.1	0	0	3	1	1	0.11	0.68	3.9e-14
PG229	CP002684.1	5223326	5223626	-	AEE30517.1	4	4	26	3	1	0.16	0.57	1.9e-20
PG230	CP002684.1	5265849	5268161	-	AEE77728.1	0	13	5	0	2	0.84	0.47	1.8e-95
PG231	CP002684.1	5280667	5280921	-	AEC05727.2	0	5	6	0	1	0.28	0.41	5.1e-14
PG232	CP002684.1	5297941	5298186	-	AEE32460.1	0	21	0	1	1	0.22	0.46	7.4e-10
PG233	CP002684.1	5356479	5356556	+	AEE79529.1	0	0	0	0	1	0.10	0.96	1.4e-17
PG234	CP002684.1	5520982	5521305	-	AED96210.1	2	4	7	2	1	0.22	0.61	4.5e-24
PG235	CP002684.1	5528230	5528341	-	AEE29415.1	1	1	0	0	1	0.40	0.87	1.4e-19
PG236	CP002684.1	5528904	5531237	+	AEE29414.2	0	32	12	3	2	1.00	0.76	1.7e-156
PG237	CP002684.1	5665650	5668148	+	AEE73695.1	1	2	21	3	4	0.99	0.84	5.9e-126
PG239	CP002684.1	5680179	5680996	+	AEE77728.1	0	2	1	0	2	0.73	0.34	4.9e-22
PG241	CP002684.1	5681715	5681960	+	AEE31374.1	0	0	0	2	1	0.19	0.68	2.7e-34
PG242	CP002684.1	5692159	5692821	+	AEE30081.1	0	4	4	0	1	0.93	0.28	6e-32
PG243	CP002684.1	5693362	5693655	+	AEE76450.1	0	1	9	0	1	0.26	0.32	2.6e-11
PG244	CP002684.1	5694739	5696319	+	ANM66829.1	0	0	0	0	1	0.51	0.59	1.8e-161
PG245	CP002684.1	5699967	5700162	-	AEC06232.1	2	2	3	2	1	0.38	0.63	9.7e-21
PG246	CP002684.1	5701883	5702082	+	AEC06232.1	1	1	3	1	1	0.39	0.59	1.3e-18
PG248	CP002684.1	5900257	5900384	+	AEE27276.1	1	1	2	1	1	0.20	0.67	1.1e-14
PG249	CP002684.1	5913067	5914870	+	ANM65971.1	0	34	21	1	2	0.72	0.27	7.8e-30
PG250	CP002684.1	5915662	5916152	-	ANM58381.1	0	5	1	0	2	0.95	0.54	9.8e-21
PG251	CP002684.1	5958749	5959558	-	AEC05607.1	0	8	16	0	1	0.76	0.25	3e-10
PG252	CP002684.1	5970800	5970907	-	AED96033.1	0	0	0	2	1	0.27	0.81	2.4e-17
PG253	CP002684.1	5971833	5972138	+	AEC06572.2	0	0	0	0	1	0.11	0.31	7.2e-11
PG254	CP002684.1	5975395	5975681	-	AED95734.1	3	11	0	1	1	0.50	0.75	9.6e-21
PG256	CP002684.1	6009763	6011096	-	ANM66829.1	1	1	4	0	1	0.43	0.40	1e-70
PG257	CP002684.1	6049854	6050157	+	AEE35376.1	1	1	2	2	2	0.29	0.69	1.6e-17
PG258	CP002684.1	6117555	6117626	+	AEE33444.1	0	0	0	0	1	0.23	0.80	2.3e-11
PG259	CP002684.1	6127779	6128181	-	AEE76880.1	2	4	0	2	2	0.13	0.67	1.2e-24
PG260	CP002684.1	6232092	6233837	+	AEE33033.1	4	7	70	0	4	0.94	0.65	1.1e-20
PG261	CP002684.1	6262075	6262324	-	AEE29686.1	2	2	3	0	1	0.38	0.86	9.9e-35
PG262	CP002684.1	6271932	6272156	-	ANM59521.1	0	0	1	0	1	0.72	0.46	2.5e-20
PG263	CP002684.1	6272758	6273181	-	AEE74423.1	0	0	0	1	2	0.17	0.71	9.7e-14
PG264	CP002684.1	6273520	6273681	-	AEE31374.1	0	0	0	0	1	0.13	0.87	7.2e-31
PG266	CP002684.1	6274770	6275216	-	AEE77728.1	0	0	0	0	1	0.21	0.28	4e-22
PG268	CP002684.1	6472164	6472250	-	AEC08310.1	0	0	0	0	1	0.10	0.90	1.1e-20
PG270	CP002684.1	6571091	6571702	+	AEE30178.1	0	11	9	0	1	0.99	0.35	3.5e-28
PG271	CP002684.1	6571954	6573090	+	ANM65688.1	0	2	2	1	1	0.79	0.48	3.3e-100
PG272	CP002684.1	6573522	6573668	-	AED95811.1	0	0	0	1	1	0.27	0.58	1.5e-09
PG275	CP002684.1	6640854	6641031	-	ANM61984.1	1	6	0	0	1	0.17	0.65	2.5e-17
PG277	CP002684.1	6700612	6700698	-	AEE29848.1	0	0	0	0	1	0.10	0.93	9.6e-17
PG278	CP002684.1	6717426	6717725	+	AED96214.1	1	2	0	0	2	0.27	0.87	2.6e-15
PG279	CP002684.1	6718669	6723906	+	AED95159.1	0	11	24	1	3	0.99	0.38	3.8e-64
PG282	CP002684.1	6768811	6770707	-	AEE83358.1	1	3	4	0	1	0.99	0.68	7e-221
PG283	CP002684.1	6771588	6771926	+	AED96796.1	0	0	18	0	1	0.33	0.36	1e-09
PG284	CP002684.1	6773132	6773254	+	AEE29866.1	0	1	0	1	1	0.13	0.79	7.4e-21
PG285	CP002684.1	6848384	6850398	-	AEE73695.1	2	7	10	2	2	0.92	0.52	6.7e-117
PG286	CP002684.1	6930453	6930719	+	AEE35749.1	0	3	7	0	1	0.99	0.51	3.5e-22
PG287	CP002684.1	6941954	6942175	-	AED95755.1	2	3	1	2	1	0.20	0.47	4.8e-12
PG288	CP002684.1	6947429	6947611	-	AEE31669.1	0	0	3	2	1	0.21	0.63	1.3e-22
PG291	CP002684.1	7015235	7015660	-	AEE30044.1	0	2	1	0	1	0.34	0.65	1.4e-52
PG292	CP002684.1	7045269	7045903	-	AEE30015.1	0	4	1	2	2	0.61	0.61	2.1e-16
PG293	CP002684.1	7065467	7065892	+	AED92159.1	0	0	0	3	1	0.89	0.87	4.6e-55
PG294	CP002684.1	7066492	7067079	+	ANM70864.1	0	22	0	0	1	0.98	0.45	1.1e-25
PG295	CP002684.1	7161890	7163094	-	AEE76839.1	0	23	17	0	2	0.98	0.44	7.3e-30
PG299	CP002684.1	7222898	7223092	+	AEE80003.1	0	0	5	1	1	0.46	0.47	4.1e-18
PG301	CP002684.1	7225158	7225696	-	AEE30023.1	1	6	5	4	1	0.43	0.48	2.9e-38
PG302	CP002684.1	7353978	7357900	+	AEC06043.1	0	2	12	0	2	0.97	0.41	3.4e-27
PG303	CP002684.1	7360061	7361808	-	AEE32491.1	0	6	28	0	2	0.72	0.25	2.9e-21
PG304	CP002684.1	7428253	7428921	-	AEE30081.1	0	1	6	0	1	0.96	0.56	3.2e-67
PG305	CP002684.1	7442251	7451707	-	AEE30081.1	1	6	14	0	3	1.00	0.64	1.3e-85
PG306	CP002684.1	7474959	7475537	+	ANM65688.1	0	0	0	0	1	0.40	0.61	4.2e-65
PG308	CP002684.1	7527101	7528232	-	AEE34450.1	0	4	21	0	2	0.71	0.33	2.4e-29
PG309	CP002684.1	7529143	7529355	+	AEE33723.1	0	0	0	1	1	0.25	0.61	8.5e-26
PG310	CP002684.1	7537380	7537553	-	AEE30111.1	0	0	3	0	1	0.92	0.50	2.5e-12
PG311	CP002684.1	7711474	7711614	+	AEE34806.1	0	0	5	1	1	0.16	0.53	4.3e-15
PG312	CP002684.1	7717826	7719073	+	AEE76453.1	0	7	9	1	2	0.89	0.27	9.2e-19
PG313	CP002684.1	7720546	7722084	+	ANM66829.1	0	1	7	0	1	0.50	0.38	3.4e-88
PG314	CP002684.1	7745869	7747384	+	AEE30190.1	4	15	25	4	3	0.32	0.79	2.7e-94
PG315	CP002684.1	7750441	7750499	+	AEE29761.1	1	1	0	0	1	0.19	0.76	3e-09
PG316	CP002684.1	7766111	7766274	+	ANM64375.1	1	10	0	0	1	0.29	0.61	1.1e-10
PG317	CP002684.1	7833150	7833284	-	AEE29991.2	0	0	0	1	1	0.17	0.63	2.9e-16
PG318	CP002684.1	7855505	7855704	+	AEE30215.1	1	1	2	2	1	0.13	0.73	3.5e-26
PG319	CP002684.1	7892884	7894498	-	AEE30235.1	1	3	1	0	2	1.00	0.76	3.9e-121
PG321	CP002684.1	7909322	7909402	-	AEE28157.1	0	0	0	0	1	0.20	0.82	1.3e-13
PG323	CP002684.1	7970647	7971800	+	AEE31993.1	0	1	3	0	2	0.64	0.33	9.4e-18
PG324	CP002684.1	7971810	7972055	+	AEE84338.1	0	1	0	0	1	0.22	0.40	4.9e-20
PG325	CP002684.1	7972267	7981257	+	ANM65689.1	0	21	12	2	2	0.99	0.37	3.7e-43
PG327	CP002684.1	8140499	8140621	+	AEC05607.1	0	0	0	0	1	0.11	0.91	1.3e-19
PG329	CP002684.1	8163387	8163879	-	AEE78930.2	1	2	10	1	3	0.17	0.73	8.2e-12
PG330	CP002684.1	8170263	8170361	+	AEE29991.2	0	0	0	0	1	0.12	0.71	1.2e-13
