#chr	start	end	strand	query	frac	ins	del	shift	stop	expect	ident	polya	type
CP002685.1	849768	849854	-	AT3G57770.1	0.11	0	0	0	0	4e-09	0.897	0	FRAG
CP002685.1	852850	852936	-	AT3G57770.1	0.11	0	0	0	0	1e-09	0.897	0	FRAG
CP002685.1	925377	925765	-	AT2G04115.1	0.86	7	6	1	2	1e-10	0.353	1	FRAG
CP002685.1	1000732	1001741	-	AT2G22340.1	0.95	4	4	3	0	1e-115	0.918	0	PSSD
CP002685.1	1191789	1192996	-	AT2G04032.1	1.00	3	48	1	1	2e-52	0.68	3	DUP
CP002685.1	1194714	1195497	-	AT5G65005.1	0.98	3	0	1	0	2e-61	0.487	3	PSSD
CP002685.1	1201671	1203651	-	AT1G52950.1	0.72	31	0	1	4	2e-33	0.45	0	DUP
CP002685.1	1227827	1233203	-	AT5G18460.1	0.56	1	3	0	1	6e-50	0.58	3	DUP
CP002685.1	1237070	1237396	-	AT2G33175.1	0.65	0	4	0	2	1e-41	0.858	2	FRAG
CP002685.1	1246169	1247861	-	AT5G18460.1	0.55	3	2	2	2	3e-38	0.56	0	DUP
CP002685.1	1254900	1255070	-	AT1G12870.1	0.14	2	3	0	0	5e-09	0.383	0	FRAG
CP002685.1	1255401	1256454	-	AT2G04030.1	0.32	33	12	6	3	2e-12	0.51	0	DUP
CP002685.1	1272301	1272471	-	AT5G42905.1	0.22	1	0	0	1	5e-09	0.614	3	FRAG
CP002685.1	1280166	1280547	-	AT5G36200.1	0.32	3	24	3	5	2e-09	0.437	3	FRAG
CP002685.1	1332501	1332608	-	AT3G25530.1	0.12	1	0	0	1	1e-07	0.861	0	FRAG
CP002685.1	1342847	1346302	-	AT1G31740.1	0.81	6	4	4	9	1e-33	0.88	3	DUP
CP002685.1	1365251	1365409	-	AT2G16955.1	0.84	0	0	0	3	3e-07	0.528	0	FRAG
CP002685.1	1420661	1420870	-	AT3G43572.1	1.00	0	0	0	0	2e-28	0.943	0	PSSD
CP002685.1	1420892	1421239	-	AT3G44070.1	0.42	1	0	0	0	6e-17	0.534	0	FRAG
CP002685.1	1421475	1421681	-	AT3G43574.1	1.00	0	0	0	1	3e-29	0.942	0	PSSD
CP002685.1	1469306	1469437	-	AT3G27140.1	0.18	0	0	0	0	4e-11	0.818	0	FRAG
CP002685.1	1469558	1470004	-	AT4G03566.1	0.99	1	0	0	1	8e-75	0.932	0	PSSD
CP002685.1	1485499	1486356	-	AT1G10000.1	0.95	3	4	0	2	4e-23	0.341	0	FRAG
CP002685.1	1528522	1529674	-	AT2G05210.1	0.58	24	0	2	3	2e-60	0.72	0	DUP
CP002685.1	1571146	1571526	-	AT4G03566.1	0.83	2	0	0	4	3e-23	0.480	0	PSSD
CP002685.1	1605719	1605842	-	AT3G42155.1	0.25	1	1	1	1	2e-07	0.810	0	FRAG
CP002685.1	1618430	1618602	-	AT4G06740.1	0.88	1	17	1	2	6e-09	0.533	3	FRAG
CP002685.1	1653781	1653988	-	AT4G35860.2	0.43	2	3	1	0	1e-11	0.639	0	FRAG
CP002685.1	1654547	1655693	-	AT4G33290.1	0.90	16	19	3	0	3e-91	0.529	3	PSSD
CP002685.1	1787656	1787897	-	AT1G34095.1	0.37	7	0	2	1	7e-12	0.650	3	FRAG
CP002685.1	1828043	1828751	-	AT5G65005.1	0.91	2	2	2	1	1e-54	0.527	3	PSSD
CP002685.1	1832500	1833222	-	AT3G42140.1	0.71	18	1	0	0	3e-57	0.61	0	DUP
CP002685.1	1834478	1835946	-	AT1G51370.1	0.99	1	6	0	4	1e-114	0.62	3	DUP
CP002685.1	1851692	1852328	-	AT2G37680.1	0.84	12	2	2	6	2e-21	0.60	1	DUP
CP002685.1	1897749	1897913	-	AT2G23348.1	0.61	0	0	0	1	5e-09	0.545	1	FRAG
CP002685.1	1921595	1922901	-	AT4G29090.1	0.79	4	23	1	3	1e-13	0.370	1	FRAG
CP002685.1	1926084	1926326	-	AT5G36228.1	0.22	1	1	0	0	2e-26	0.366	0	FRAG
CP002685.1	1959828	1960112	-	AT4G24970.1	0.14	1	2	0	5	5e-07	0.423	0	FRAG
CP002685.1	2069535	2069877	-	AT1G43760.1	0.20	1	9	1	2	1e-07	0.366	0	FRAG
CP002685.1	2146568	2147030	-	AT1G48520.2	0.28	5	14	3	1	6e-34	0.79	0	DUP
CP002685.1	2153076	2158727	-	AT4G13610.1	0.05	1	0	1	1	1e-15	0.94	3	DUP
CP002685.1	2189501	2189725	-	AT3G59960.1	0.18	13	0	2	2	5e-08	0.667	0	FRAG
CP002685.1	2189987	2190124	-	AT3G32896.1	0.29	0	0	0	1	5e-12	0.696	0	FRAG
CP002685.1	2206724	2207100	-	AT5G30520.1	0.82	1	0	1	1	6e-14	0.55	0	DUP
CP002685.1	2313853	2315157	-	AT3G24255.1	0.50	0	1	0	0	2e-12	0.57	0	DUP
CP002685.1	2365947	2366192	-	AT1G75470.1	0.22	0	2	0	0	1e-21	0.833	0	FRAG
CP002685.1	2504348	2504476	-	AT5G29044.1	1.00	0	0	0	1	8e-12	0.791	0	PSSD
CP002685.1	2529763	2530255	-	AT2G07505.1	1.00	1	2	1	0	2e-37	0.73	3	DUP
CP002685.1	2560467	2560597	-	AT3G42155.1	0.25	3	0	1	0	6e-10	0.795	3	FRAG
CP002685.1	2573855	2574298	-	AT5G34581.1	0.80	23	4	0	0	2e-09	0.507	0	FRAG
CP002685.1	2580808	2581630	-	AT2G16040.1	0.73	5	8	2	1	1e-72	0.615	1	PSSD
CP002685.1	2628130	2652331	-	AT2G35280.1	0.28	2	0	2	0	4e-08	0.86	0	FRAG
CP002685.1	2728708	2729132	-	AT3G15460.1	0.36	3	3	2	0	7e-24	0.66	1	DUP
CP002685.1	2804697	2804856	-	AT2G09388.1	0.35	1	0	1	1	4e-08	0.660	3	FRAG
CP002685.1	2858287	2858450	-	AT2G36695.1	0.51	1	5	1	1	9e-16	0.750	0	FRAG
CP002685.1	2949545	2949938	-	AT2G06845.1	0.40	5	0	1	0	1e-25	0.573	3	FRAG
CP002685.1	2979038	2979191	-	AT2G05185.1	0.58	1	0	1	1	8e-14	0.863	0	FRAG
CP002685.1	2996538	2997097	-	AT3G44980.1	0.69	30	0	2	4	3e-22	0.58	1	DUP
CP002685.1	3117102	3118038	-	AT1G43722.1	0.98	11	8	5	7	3e-46	0.667	0	PSSD
CP002685.1	3188393	3190110	-	ATCG01010.1	0.92	25	129	8	4	1e-69	0.665	0	PSSD
CP002685.1	3208786	3209552	-	AT1G52950.1	0.38	52	10	3	5	5e-19	0.364	0	FRAG
CP002685.1	3244579	3245064	-	ATMG00520.1	0.24	0	0	0	0	2e-86	0.994	0	FRAG
CP002685.1	3293379	3293940	-	ATMG00880.1	1.00	1	0	1	0	7e-102	1.000	0	PSSD
CP002685.1	3295818	3296134	-	AT3G29750.1	0.26	1	5	1	0	2e-16	0.414	0	FRAG
CP002685.1	3313039	3313269	-	ATMG01200.1	0.26	0	0	0	0	7e-11	0.429	0	FRAG
CP002685.1	3313459	3313677	-	ATMG00080.1	0.41	0	0	0	0	1e-34	1.000	0	FRAG
CP002685.1	3314066	3314674	-	ATMG00040.1	0.77	1	41	0	0	3e-75	0.689	0	PSSD
CP002685.1	3331579	3332296	-	ATCG00020.1	0.68	7	5	3	7	4e-34	0.728	0	FRAG
CP002685.1	3397158	3399434	-	ATMG00060.1	0.72	0	0	0	0	0.0	0.99	0	DUP
CP002685.1	3399657	3399911	-	ATMG00516.1	0.26	0	0	0	0	3e-44	0.988	0	FRAG
CP002685.1	3400730	3402745	-	ATMG00520.1	1.00	0	0	0	1	0.0	0.991	0	PSSD
CP002685.1	3441924	3442631	-	ATMG00180.1	0.52	0	0	0	0	3e-104	0.847	0	FRAG
CP002685.1	3470314	3471873	-	ATMG00285.1	0.39	0	0	0	0	5e-53	0.98	0	DUP
CP002685.1	3480199	3480633	-	ATMG00300.1	1.00	0	0	0	0	3e-08	1.000	0	FRAG
CP002685.1	3489566	3489715	-	ATMG00030.1	0.47	0	0	0	0	7e-21	0.980	0	FRAG
CP002685.1	3522708	3522812	-	AT2G22650.1	0.09	0	3	0	1	1e-07	0.816	0	FRAG
CP002685.1	3532616	3532857	-	AT3G42385.1	0.99	3	6	1	1	9e-08	0.632	0	FRAG
CP002685.1	3650962	3651108	-	AT2G09838.1	0.79	0	0	0	0	2e-12	0.816	0	PSSD
CP002685.1	3719183	3719367	-	AT2G07695.1	0.21	1	0	1	0	3e-18	0.935	0	FRAG
CP002685.1	3836201	3837040	-	AT4G04650.1	0.84	0	0	0	4	1e-87	0.539	3	PSSD
CP002685.1	3843156	3844240	-	AT1G43760.1	0.58	3	0	3	3	2e-59	0.630	0	FRAG
CP002685.1	3896929	3898106	-	AT5G32590.1	0.48	4	4	2	5	4e-85	0.72	0	DUP
CP002685.1	3932053	3932423	-	AT1G52950.1	0.19	1	11	1	1	6e-11	0.45	0	DUP
CP002685.1	4083384	4083782	-	AT3G50310.1	0.40	0	4	0	1	9e-43	0.701	1	FRAG
CP002685.1	4090954	4091058	-	AT2G10550.1	0.21	0	0	0	0	1e-10	0.914	3	FRAG
CP002685.1	4093977	4094369	-	AT3G29750.1	0.32	2	5	2	1	2e-07	0.346	0	FRAG
CP002685.1	4100764	4101080	-	AT3G18640.1	0.16	2	0	1	0	2e-33	0.962	0	FRAG
CP002685.1	4109865	4116032	-	AT5G04860.1	0.57	2	2	2	0	1e-152	0.92	3	DUP
CP002685.1	4129680	4129898	-	AT2G07702.1	0.48	0	0	0	2	4e-28	0.890	0	FRAG
CP002685.1	4185205	4185752	-	AT5G30341.1	0.86	32	0	3	6	4e-13	0.63	0	DUP
CP002685.1	4195200	4195463	-	AT2G05370.2	0.63	2	2	2	0	2e-11	0.678	0	FRAG
CP002685.1	4314391	4314525	-	AT1G50080.1	0.49	0	0	0	0	7e-08	0.489	0	FRAG
CP002685.1	4339527	4339946	-	AT5G19270.1	0.38	1	1	0	1	6e-23	0.418	1	FRAG
CP002685.1	4415385	4415513	-	AT5G40940.1	0.10	0	0	0	1	1e-08	0.698	0	FRAG
CP002685.1	4459889	4460096	-	AT5G38300.1	0.25	6	2	1	0	6e-10	0.662	0	FRAG
CP002685.1	4471014	4471233	-	AT1G18770.1	0.68	2	0	1	0	5e-08	0.466	0	FRAG
CP002685.1	4477717	4478571	-	AT1G10000.1	0.94	1	2	0	0	4e-28	0.352	3	FRAG
CP002685.1	4486747	4487461	-	AT1G63640.1	0.19	0	0	0	2	4e-89	0.92	0	DUP
CP002685.1	4643498	4644410	-	AT2G11570.1	1.00	4	2	2	2	5e-74	0.919	3	PSSD
CP002685.1	4652041	4652154	-	AT2G13720.1	0.17	0	0	0	1	2e-07	0.763	1	FRAG
CP002685.1	4687111	4687595	-	AT5G30341.1	0.96	25	5	5	7	3e-17	0.697	0	PSSD
CP002685.1	4791235	4791523	-	AT3G44713.1	0.15	4	2	1	0	3e-17	0.663	1	FRAG
CP002685.1	4824515	4824628	-	AT5G31412.1	0.09	0	0	0	0	9e-09	0.711	0	FRAG
CP002685.1	4856585	4857003	-	AT1G02850.1	0.17	0	1	0	2	7e-21	0.77	0	DUP
CP002685.1	4857541	4857836	-	AT5G10510.1	0.12	1	1	1	1	8e-11	0.75	0	DUP
CP002685.1	4857890	4858545	-	AT5G58000.1	0.27	5	0	3	1	2e-19	0.85	0	DUP
CP002685.1	4888135	4888944	-	AT4G00260.1	0.56	27	48	5	9	1e-12	0.321	0	FRAG
CP002685.1	4894631	4895202	-	AT5G43755.1	0.90	3	2	1	0	5e-11	0.45	3	DUP
CP002685.1	5002762	5002946	-	AT1G77440.1	0.30	2	0	1	3	2e-07	0.710	0	FRAG
CP002685.1	5013473	5013858	-	AT3G31350.1	0.81	4	30	4	0	3e-14	0.57	0	DUP
CP002685.1	5181464	5182011	-	AT2G18800.1	0.51	1	4	1	1	2e-47	0.88	0	DUP
CP002685.1	5409914	5410350	-	AT3G24700.1	0.59	3	4	2	0	3e-33	0.644	0	FRAG
CP002685.1	5412012	5412221	-	AT4G03728.1	0.50	0	0	0	2	6e-09	0.686	0	FRAG
CP002685.1	5418430	5419106	-	AT3G24700.1	0.99	3	23	1	1	2e-70	0.627	0	PSSD
CP002685.1	5419716	5420810	-	AT3G17540.1	0.98	3	26	3	3	1e-66	0.569	0	PSSD
CP002685.1	5421883	5422078	-	AT3G30730.1	1.00	1	2	1	0	1e-09	0.612	1	FRAG
CP002685.1	5434880	5435681	-	AT2G12935.1	0.76	0	0	0	2	1e-21	0.80	3	DUP
CP002685.1	5445343	5445899	-	AT2G15180.1	0.30	6	1	3	1	9e-10	0.46	0	FRAG
CP002685.1	5446163	5446527	-	AT2G12945.1	0.80	1	0	1	2	2e-22	0.70	0	DUP
CP002685.1	5446788	5447452	-	AT4G07666.1	0.58	3	7	3	1	6e-27	0.73	0	DUP
CP002685.1	5452862	5452993	-	AT1G41820.1	0.10	2	0	0	0	1e-07	0.705	0	FRAG
CP002685.1	5461256	5461568	-	AT2G12945.1	0.75	17	0	1	4	2e-21	0.559	0	PSSD
CP002685.1	5462878	5463293	-	AT4G07666.1	0.41	1	0	1	0	4e-37	0.705	0	FRAG
CP002685.1	5465982	5466122	-	AT1G52950.1	0.08	0	0	0	1	9e-10	0.723	0	FRAG
CP002685.1	5474688	5474816	-	AT3G31950.1	0.08	0	0	0	1	8e-10	0.791	0	FRAG
CP002685.1	5503220	5503387	-	AT1G73655.1	0.23	2	0	0	0	8e-15	0.786	0	FRAG
CP002685.1	5513738	5513905	-	AT1G60720.1	0.19	0	0	0	0	5e-14	0.643	3	FRAG
CP002685.1	5517702	5518517	-	AT1G10000.1	0.90	4	5	0	3	4e-31	0.375	3	FRAG
CP002685.1	5534051	5534282	-	AT2G22940.1	0.76	1	0	1	0	2e-07	0.532	0	FRAG
CP002685.1	5579295	5579728	-	AT4G06490.1	1.00	1	1	1	0	1e-45	0.692	0	PSSD
CP002685.1	5580021	5580620	-	AT3G43150.1	0.90	4	0	0	1	6e-52	0.80	0	DUP
CP002685.1	5580627	5582814	-	AT5G32590.1	0.78	22	17	4	4	3e-113	0.80	0	DUP
CP002685.1	5586706	5587899	-	AT3G49730.1	0.61	13	7	0	0	8e-50	0.289	2	FRAG
CP002685.1	5600327	5602019	-	AT4G29090.1	1.00	1	11	1	1	9e-12	0.350	0	FRAG
CP002685.1	5604639	5605584	-	AT5G36228.1	0.85	10	2	1	0	2e-25	0.278	0	FRAG
CP002685.1	5616234	5617290	-	AT5G25600.1	0.98	4	8	2	1	2e-93	0.73	3	DUP
CP002685.1	5617634	5618059	-	AT5G19270.1	0.39	3	3	0	2	5e-12	0.303	0	FRAG
CP002685.1	5629946	5630363	-	AT4G04730.1	1.00	2	0	2	1	8e-32	0.679	0	PSSD
CP002685.1	5631696	5633014	-	AT4G29090.1	0.79	3	17	3	1	2e-30	0.365	0	FRAG
CP002685.1	5635879	5636371	-	AT3G31430.1	0.48	3	0	1	0	2e-16	0.305	0	FRAG
CP002685.1	5657144	5657368	-	AT1G32720.1	0.41	0	0	0	0	5e-22	0.947	2	FRAG
CP002685.1	5661285	5661609	-	AT2G36700.1	0.31	15	8	1	3	8e-14	0.517	0	FRAG
CP002685.1	5664856	5665451	-	AT2G36720.1	0.19	8	0	2	12	8e-31	0.574	0	FRAG
CP002685.1	5667081	5668165	-	AT2G41590.1	0.91	35	5	1	1	6e-76	0.474	0	PSSD
CP002685.1	5714497	5714661	-	AT5G55310.1	0.06	0	0	0	2	2e-08	0.582	2	FRAG
CP002685.1	5734979	5735894	-	AT1G24380.1	0.95	0	8	0	1	7e-111	0.93	3	DUP
CP002685.1	5805005	5805348	-	AT5G02370.1	0.13	2	0	2	0	9e-11	0.89	0	DUP
CP002685.1	5815605	5815727	-	AT3G28120.1	1.00	0	0	0	0	4e-07	0.854	0	FRAG
CP002685.1	5875593	5876333	-	AT2G24645.1	0.46	2	8	1	7	8e-35	0.58	0	DUP
CP002685.1	5883483	5883957	-	AT3G31350.1	0.66	0	0	0	0	7e-26	0.73	2	DUP
CP002685.1	5930060	5931582	-	AT3G59250.1	1.00	9	7	1	0	7e-120	0.66	0	DUP
CP002685.1	6092008	6092190	-	AT2G14290.1	0.17	0	0	0	1	2e-13	0.607	0	FRAG
CP002685.1	6098786	6099336	-	AT2G14500.1	0.53	12	10	1	2	1e-21	0.404	0	FRAG
CP002685.1	6103283	6103708	-	AT4G35170.1	0.47	0	0	0	0	1e-53	0.908	3	FRAG
CP002685.1	6119415	6119846	-	AT4G06490.1	0.99	0	1	0	1	7e-49	0.669	0	PSSD
CP002685.1	6120129	6120777	-	AT3G43150.1	1.00	0	7	0	2	4e-71	0.82	0	DUP
CP002685.1	6121371	6123874	-	AT5G32590.1	1.00	22	46	3	1	0.0	0.77	0	DUP
CP002685.1	6164602	6164703	-	AT3G27430.1	0.13	0	0	0	0	1e-11	0.971	0	FRAG
CP002685.1	6164988	6165815	-	AT4G05330.1	0.33	3	0	1	1	3e-28	0.92	0	DUP
CP002685.1	6186507	6187178	-	AT4G39550.1	0.57	5	4	0	4	6e-35	0.417	3	FRAG
CP002685.1	6273315	6274037	-	AT2G04040.1	0.39	0	0	0	1	1e-86	0.95	0	DUP
CP002685.1	6289874	6292039	-	AT4G32272.1	0.67	4	3	1	1	7e-16	0.60	0	DUP
CP002685.1	6473970	6474260	-	AT4G04650.1	0.29	0	0	0	0	7e-13	0.402	2	FRAG
CP002685.1	6520281	6520572	-	AT5G42905.1	0.37	4	0	3	3	8e-10	0.567	3	FRAG
CP002685.1	6520612	6520885	-	AT2G15025.1	0.48	5	0	2	2	9e-12	0.505	0	FRAG
CP002685.1	6580088	6580225	-	AT3G49650.1	0.06	0	0	0	0	3e-13	0.848	0	FRAG
CP002685.1	6619668	6620736	-	AT2G41590.1	1.00	5	15	1	4	8e-111	0.606	3	PSSD
CP002685.1	6621602	6622523	-	AT4G29090.1	0.61	5	45	1	4	2e-28	0.324	0	FRAG
CP002685.1	6625551	6626097	-	AT2G41590.1	0.50	2	1	2	2	3e-17	0.337	0	FRAG
CP002685.1	6639460	6639862	-	AT5G40880.1	0.42	7	67	2	0	5e-37	0.589	0	FRAG
CP002685.1	6688158	6689778	-	AT2G15370.1	0.97	3	2	1	0	0.0	0.88	0	DUP
CP002685.1	6731748	6732020	-	AT1G24996.1	0.60	1	0	0	0	1e-23	0.626	1	FRAG
CP002685.1	6735935	6736156	-	AT2G06845.1	0.24	0	1	0	3	6e-08	0.453	0	FRAG
CP002685.1	6757039	6757205	-	AT2G26610.1	0.04	1	0	1	2	2e-10	0.804	3	FRAG
CP002685.1	6860216	6860692	-	AT2G15185.1	0.86	3	4	3	1	2e-39	0.659	0	PSSD
CP002685.1	6869564	6870463	-	AT5G38390.1	0.90	6	114	2	5	7e-38	0.470	2	PSSD
CP002685.1	6897941	6898758	-	AT3G09510.1	0.95	13	194	7	5	6e-12	0.291	1	FRAG
CP002685.1	6903167	6903571	-	AT2G22440.1	0.54	2	5	0	1	2e-16	0.386	2	FRAG
CP002685.1	6986135	6986574	-	AT5G38920.1	0.76	2	0	1	0	7e-66	0.918	3	PSSD
CP002685.1	6990166	6990800	-	AT1G27870.1	1.00	1	0	1	0	2e-41	0.958	3	PSSD
CP002685.1	7025918	7026103	-	AT2G16450.1	0.15	0	0	0	1	2e-18	0.758	0	FRAG
CP002685.1	7060121	7060573	-	AT2G16290.1	0.36	0	0	0	0	3e-20	0.993	0	FRAG
CP002685.1	7064388	7064794	-	AT5G56910.1	0.50	24	0	1	5	5e-07	0.385	0	FRAG
CP002685.1	7065363	7066190	-	AT2G21600.1	0.91	6	0	0	2	1e-32	0.69	0	DUP
CP002685.1	7111095	7111187	-	AT1G78160.1	0.05	0	0	0	0	8e-07	0.806	0	FRAG
CP002685.1	7170954	7171402	-	AT3G09510.1	0.31	1	0	1	1	2e-36	0.667	0	FRAG
CP002685.1	7232676	7234004	-	AT4G29090.1	0.79	0	14	0	0	2e-45	0.381	0	FRAG
CP002685.1	7236941	7237600	-	AT5G36228.1	0.61	0	1	0	0	1e-33	0.330	0	FRAG
CP002685.1	7252935	7253322	-	AT2G23148.1	0.94	2	6	1	0	7e-16	0.415	3	PSSD
CP002685.1	7274998	7275273	-	AT2G42730.2	0.20	3	3	0	0	4e-16	0.537	0	FRAG
CP002685.1	7296115	7296523	-	AT5G17980.1	0.13	6	0	2	1	8e-26	0.737	3	FRAG
CP002685.1	7327929	7328502	-	AT1G71870.1	0.41	1	18	1	1	1e-85	0.823	0	FRAG
CP002685.1	7330327	7330509	-	AT3G25727.1	0.45	0	8	0	1	5e-12	0.551	0	FRAG
CP002685.1	7340028	7342485	-	AT5G01340.1	0.55	8	42	5	0	4e-15	0.61	0	DUP
CP002685.1	7537340	7539401	-	AT1G11680.1	0.98	6	3	1	0	3e-147	0.75	0	DUP
CP002685.1	7657608	7659255	-	AT4G29090.1	0.95	24	18	2	0	2e-48	0.343	3	FRAG
CP002685.1	8076962	8077177	-	AT3G24517.1	0.44	0	0	0	2	1e-08	0.417	3	FRAG
CP002685.1	8147942	8148828	-	AT2G31720.1	1.00	7	23	1	2	1e-110	0.774	0	PSSD
CP002685.1	8150716	8150874	-	AT3G15010.1	0.13	1	0	0	0	9e-10	0.698	1	FRAG
CP002685.1	8199569	8199851	-	AT2G18930.1	0.99	0	0	0	0	2e-12	0.82	0	DUP
CP002685.1	8199910	8200035	-	AT2G05350.1	0.09	1	0	0	0	3e-11	0.833	0	FRAG
CP002685.1	8210732	8210863	-	AT5G62060.1	0.15	0	0	0	0	1e-13	0.727	0	FRAG
CP002685.1	8300632	8300865	-	AT2G19170.1	0.06	0	0	0	1	1e-10	0.75	0	DUP
CP002685.1	8406068	8406433	-	AT5G57035.1	0.15	0	0	0	0	4e-23	0.623	0	FRAG
CP002685.1	8529919	8530173	-	AT2G19802.1	1.00	0	0	0	0	3e-23	0.929	3	PSSD
CP002685.1	8754561	8754916	-	AT2G48100.4	0.36	3	0	0	2	1e-22	0.59	3	DUP
CP002685.1	8802009	8802164	-	AT3G57770.1	0.19	0	0	0	2	1e-09	0.673	2	FRAG
CP002685.1	8874617	8875352	-	AT1G31990.1	1.00	7	84	2	3	3e-37	0.409	0	PSSD
CP002685.1	8963661	8963991	-	AT4G00416.1	0.68	1	1	1	2	2e-17	0.649	0	FRAG
CP002685.1	8994149	8996537	-	AT4G38510.1	0.96	0	2	0	3	2e-127	0.94	0	DUP
CP002685.1	9022940	9024178	-	AT1G31885.1	1.00	2	34	1	3	7e-57	0.73	0	DUP
CP002685.1	9073535	9073752	-	AT5G16486.1	0.38	1	7	1	0	4e-20	0.688	0	FRAG
CP002685.1	9079296	9079488	-	AT2G21185.1	1.00	1	29	1	0	1e-18	0.645	0	PSSD
CP002685.1	9182186	9182356	-	AT2G21450.1	0.07	0	0	0	0	2e-22	1.000	0	FRAG
CP002685.1	9329659	9329778	-	AT3G29797.1	0.26	0	0	0	0	6e-13	0.925	3	FRAG
CP002685.1	9333005	9333250	-	AT2G21750.1	0.72	0	8	0	1	5e-33	0.800	3	PSSD
CP002685.1	9345673	9346146	-	AT5G44220.1	0.73	3	55	3	1	1e-21	0.463	0	PSSD
CP002685.1	9346720	9347231	-	AT2G21930.1	0.52	6	7	1	0	1e-38	0.556	1	FRAG
CP002685.1	9358885	9359293	-	AT2G41350.1	0.43	10	0	1	0	4e-35	0.699	0	FRAG
CP002685.1	9378519	9378808	-	AT3G24255.1	0.13	1	1	1	1	2e-17	0.480	0	FRAG
CP002685.1	9421697	9422461	-	AT1G58270.1	0.49	2	1	0	1	2e-47	0.58	0	DUP
CP002685.1	9711465	9711632	-	ATCG00890.1	0.14	3	0	0	0	6e-19	0.857	0	FRAG
CP002685.1	9713368	9714429	-	AT1G60720.1	0.91	6	37	5	5	5e-22	0.56	0	DUP
CP002685.1	9830968	9831087	-	ATMG00160.1	0.15	0	0	0	0	1e-07	0.775	0	FRAG
CP002685.1	9851132	9851622	-	AT2G23150.1	0.27	5	0	4	1	1e-39	0.89	0	DUP
CP002685.1	9987630	9987961	-	AT5G65005.1	0.43	1	2	1	2	3e-21	0.496	0	FRAG
CP002685.1	10041864	10042078	-	AT2G23580.2	0.35	1	0	1	1	1e-28	0.847	0	FRAG
CP002685.1	10156544	10156890	-	AT2G26230.1	0.30	1	5	1	0	7e-28	0.84	3	DUP
CP002685.1	10165995	10170262	-	AT3G58880.1	1.00	6	34	0	0	1e-90	0.65	0	DUP
CP002685.1	10240880	10241411	-	AT3G43950.1	0.82	2	2	1	2	3e-39	0.570	1	PSSD
