# Intersecting genes (threshold: 60.0%)
# Total genes in file1: 3705
# Total genes in file2: 7859
# Total matches found: 2598
# Match percentage: 70.12%
# Average values:
#   pseudopipe coverage: 0.53
#   pseudoscope coverage: 0.57
#   pseudopipe identity: 0.66
#   pseudoscope identity: 0.63
#   overlap: 94.93%

# chrom	ppipe_start	ppipe_end	pscope_start	pscope_end	ppipe_cov	pscope_cov	ppipe_ident	pscope_ident	overlap
CP002685.1	2365947	2366192	2358748	2369204	0.22	0.43	0.83	0.35	100.00%
CP002685.1	2560467	2560597	2560470	2561096	0.25	0.39	0.80	0.82	97.71%
CP002685.1	2573855	2574298	2573858	2574256	0.80	0.71	0.51	0.50	89.86%
CP002685.1	2728708	2729132	2728255	2729132	0.36	0.43	0.66	0.68	100.00%
CP002685.1	2804697	2804856	2804712	2804856	0.35	0.31	0.66	0.69	90.62%
CP002685.1	2858287	2858450	2854974	2866922	0.51	0.65	0.75	0.65	100.00%
CP002685.1	2949545	2949938	2949548	2949910	0.40	0.30	0.57	0.58	92.13%
CP002685.1	3117102	3118038	3117105	3118038	0.98	0.97	0.67	0.67	99.68%
CP002685.1	3188393	3190110	3188426	3189980	0.92	0.85	0.67	0.69	90.51%
CP002685.1	3208786	3209552	3209044	3210673	0.38	0.68	0.36	0.45	66.36%
CP002685.1	3244579	3245064	3244582	3245016	0.24	0.22	0.99	0.98	89.51%
CP002685.1	3295818	3296134	3295908	3296224	0.26	0.18	0.41	0.35	71.61%
CP002685.1	3313459	3313677	3313504	3313677	0.41	0.32	1.00	0.97	79.45%
CP002685.1	3314066	3314674	3314069	3314800	0.77	0.99	0.69	0.69	99.51%
CP002685.1	3331579	3332296	3331582	3332092	0.68	0.49	0.73	0.91	71.17%
CP002685.1	3397158	3399434	3397161	3399434	0.72	0.72	0.99	0.96	99.87%
CP002685.1	3399657	3399911	3399660	3403482	0.26	0.32	0.99	0.94	98.82%
CP002685.1	3400730	3402745	3399660	3403482	1.00	0.32	0.99	0.94	100.00%
CP002685.1	3441924	3442631	3441957	3443689	0.52	0.58	0.85	0.90	95.34%
CP002685.1	3470314	3471873	3470320	3471840	0.39	0.37	0.98	0.95	97.50%
CP002685.1	3522708	3522812	3522711	3522812	0.09	0.08	0.82	0.89	97.14%
CP002685.1	3650962	3651108	3650965	3651108	0.79	0.77	0.82	0.82	97.96%
CP002685.1	3719183	3719367	3712490	3728303	0.21	0.33	0.94	0.57	100.00%
CP002685.1	3836201	3837040	3836150	3843131	0.84	1.00	0.54	0.65	100.00%
CP002685.1	3843156	3844240	3843159	3844243	0.58	0.58	0.63	0.63	99.72%
CP002685.1	3896929	3898106	3896923	3898037	0.48	0.33	0.72	0.74	94.14%
CP002685.1	4083384	4083782	4083387	4083782	0.40	0.40	0.70	0.70	99.25%
CP002685.1	4090954	4091058	4090957	4091058	0.21	0.20	0.91	0.91	97.14%
CP002685.1	4093977	4094369	4094058	4094405	0.32	0.28	0.35	0.31	79.39%
CP002685.1	4129680	4129898	4124729	4131304	0.48	0.17	0.89	0.85	100.00%
CP002685.1	4185205	4185752	4185208	4185791	0.86	0.91	0.63	0.67	99.45%
CP002685.1	4195200	4195463	4195200	4195463	0.63	0.07	0.68	0.70	100.00%
CP002685.1	4339527	4339946	4339428	4339949	0.38	0.48	0.42	0.39	100.00%
CP002685.1	4415385	4415513	4415388	4415534	0.10	0.12	0.70	0.62	97.67%
CP002685.1	4459889	4460096	4459962	4460096	0.25	0.18	0.66	0.75	64.90%
CP002685.1	4477717	4478571	4477873	4478421	0.94	0.39	0.35	0.32	64.21%
CP002685.1	4486747	4487461	4486482	4487461	0.19	0.21	0.92	0.95	100.00%
CP002685.1	4643498	4644410	4643537	4644410	1.00	0.96	0.92	0.92	95.73%
CP002685.1	4652041	4652154	4652032	4652154	0.17	0.18	0.76	0.74	100.00%
CP002685.1	4687111	4687595	4687114	4687595	0.96	0.95	0.70	0.69	99.38%
CP002685.1	4791235	4791523	4791202	4791429	0.15	0.12	0.66	0.48	67.47%
CP002685.1	4824515	4824628	4821587	4825700	0.09	0.44	0.71	0.36	100.00%
CP002685.1	4856585	4857003	4856588	4857003	0.17	0.16	0.77	0.76	99.28%
CP002685.1	4857541	4857836	4857532	4857836	0.12	0.23	0.75	0.71	100.00%
CP002685.1	4857890	4858545	4857905	4858545	0.27	0.26	0.85	0.84	97.71%
CP002685.1	4888135	4888944	4888081	4888944	0.56	0.87	0.32	0.67	100.00%
CP002685.1	4894631	4895202	4894715	4896342	0.90	0.95	0.45	0.33	85.31%
CP002685.1	5002762	5002946	5002765	5002913	0.30	0.24	0.71	0.74	80.54%
CP002685.1	5013473	5013858	5012506	5017964	0.81	0.50	0.57	0.63	100.00%
CP002685.1	5181464	5182011	5175808	5185511	0.51	0.96	0.88	0.34	100.00%
CP002685.1	5409914	5410350	5409917	5420810	0.59	0.89	0.64	0.42	99.31%
CP002685.1	5412012	5412221	5409917	5420810	0.50	0.89	0.69	0.42	100.00%
CP002685.1	5418430	5419106	5409917	5420810	0.99	0.89	0.63	0.42	100.00%
CP002685.1	5419716	5420810	5409917	5420810	0.98	0.89	0.57	0.42	100.00%
CP002685.1	5421883	5422078	5421950	5422398	1.00	0.86	0.61	0.57	65.82%
CP002685.1	5434880	5435681	5428731	5438559	0.76	1.00	0.80	0.64	100.00%
CP002685.1	5446788	5447452	5446863	5447401	0.58	0.46	0.73	0.77	81.05%
CP002685.1	5452862	5452993	5448593	5458511	0.10	0.91	0.70	0.60	100.00%
CP002685.1	5461256	5461568	5460150	5463293	0.75	0.93	0.56	0.69	100.00%
CP002685.1	5462878	5463293	5460150	5463293	0.41	0.93	0.70	0.69	100.00%
CP002685.1	5465982	5466122	5465991	5466122	0.08	0.08	0.72	0.76	93.62%
CP002685.1	5474688	5474816	5473451	5474816	0.08	0.36	0.79	0.76	100.00%
CP002685.1	5503220	5503387	5503223	5503387	0.23	0.23	0.79	0.79	98.21%
CP002685.1	5513738	5513905	5509469	5519272	0.19	0.95	0.64	0.31	100.00%
CP002685.1	5517702	5518517	5509469	5519272	0.90	0.95	0.38	0.31	100.00%
CP002685.1	5534051	5534282	5534075	5534282	0.76	0.68	0.53	0.54	89.66%
CP002685.1	5580021	5580620	5580024	5582814	0.90	0.74	0.80	0.63	99.50%
CP002685.1	5580627	5582814	5580024	5582814	0.78	0.74	0.80	0.63	100.00%
CP002685.1	5586706	5587899	5586634	5588050	0.61	0.80	0.29	0.30	100.00%
CP002685.1	5600327	5602019	5600490	5602019	1.00	0.91	0.35	0.37	90.37%
CP002685.1	5604639	5605584	5604690	5605584	0.85	0.75	0.28	0.29	94.61%
CP002685.1	5616234	5617290	5616273	5622295	0.98	0.95	0.73	0.57	96.31%
CP002685.1	5617634	5618059	5616273	5622295	0.39	0.95	0.30	0.57	100.00%
CP002685.1	5631696	5633014	5631504	5633014	0.79	0.91	0.36	0.35	100.00%
CP002685.1	5635879	5636371	5635882	5636518	0.48	0.63	0.30	0.28	99.39%
CP002685.1	5657144	5657368	5657222	5657600	0.41	0.45	0.95	0.91	65.33%
CP002685.1	5661285	5661609	5661288	5661609	0.31	0.30	0.52	0.52	99.08%
CP002685.1	5664856	5665451	5664859	5665372	0.19	0.16	0.57	0.78	86.24%
CP002685.1	5667081	5668165	5667090	5668156	0.91	0.90	0.47	0.49	98.34%
CP002685.1	5714497	5714661	5714500	5714679	0.06	0.07	0.58	0.56	98.18%
CP002685.1	5805005	5805348	5805011	5805348	0.13	0.14	0.89	0.89	98.26%
CP002685.1	5815605	5815727	5815608	5815727	1.00	0.98	0.85	0.85	97.56%
CP002685.1	5883483	5883957	5883435	5883957	0.66	0.75	0.73	0.67	100.00%
CP002685.1	5930060	5931582	5929982	5931585	1.00	0.95	0.66	0.54	100.00%
CP002685.1	6092008	6092190	6092011	6099339	0.17	0.48	0.61	0.53	98.36%
CP002685.1	6098786	6099336	6092011	6099339	0.53	0.48	0.40	0.53	100.00%
CP002685.1	6103283	6103708	6103286	6103708	0.47	0.47	0.91	0.91	99.30%
CP002685.1	6121371	6123874	6121374	6123874	1.00	1.00	0.77	0.79	99.88%
CP002685.1	6164602	6164703	6164605	6164703	0.13	0.12	0.97	0.97	97.06%
CP002685.1	6164988	6165815	6164982	6165986	0.33	0.40	0.92	0.84	100.00%
CP002685.1	6186507	6187178	6186510	6187178	0.57	0.57	0.42	0.42	99.55%
CP002685.1	6273315	6274037	6273447	6273947	0.39	0.38	0.95	0.42	69.29%
CP002685.1	6473970	6474260	6473931	6474257	0.29	0.23	0.40	0.30	98.97%
CP002685.1	6580088	6580225	6580091	6580243	0.06	0.06	0.85	0.79	97.83%
CP002685.1	6619668	6620736	6619671	6626163	1.00	1.00	0.61	0.46	99.72%
CP002685.1	6621602	6622523	6619671	6626163	0.61	1.00	0.32	0.46	100.00%
CP002685.1	6625551	6626097	6619671	6626163	0.50	1.00	0.34	0.46	100.00%
CP002685.1	6639460	6639862	6639463	6639868	0.42	0.47	0.59	0.59	99.26%
CP002685.1	6731748	6732020	6731751	6732020	0.60	0.41	0.63	0.63	98.90%
CP002685.1	6735935	6736156	6735888	6736177	0.24	0.24	0.45	0.42	100.00%
CP002685.1	6860216	6860692	6860335	6860749	0.86	0.31	0.66	0.61	75.05%
CP002685.1	6869564	6870463	6869567	6870469	0.90	0.90	0.47	0.56	99.67%
CP002685.1	6897941	6898758	6897935	6903331	0.95	0.87	0.29	0.32	100.00%
CP002685.1	6986135	6986574	6986144	6990896	0.76	0.91	0.92	0.29	97.95%
CP002685.1	6990166	6990800	6986144	6990896	1.00	0.91	0.96	0.29	100.00%
CP002685.1	7025918	7026103	7025903	7026329	0.15	0.99	0.76	0.68	100.00%
CP002685.1	7065363	7066190	7065366	7066190	0.91	0.90	0.69	0.70	99.64%
CP002685.1	7111095	7111187	7111098	7111187	0.05	0.05	0.81	0.81	96.77%
CP002685.1	7170954	7171402	7170942	7171402	0.31	0.32	0.67	0.66	100.00%
CP002685.1	7232676	7234004	7232334	7234004	0.79	0.99	0.38	0.34	100.00%
CP002685.1	7236941	7237600	7236944	7237600	0.61	0.61	0.33	0.33	99.55%
CP002685.1	7252935	7253322	7252938	7253306	0.94	0.95	0.41	0.39	95.10%
CP002685.1	7274998	7275273	7274983	7275270	0.20	0.20	0.54	0.39	98.91%
CP002685.1	7327929	7328502	7327932	7328502	0.41	0.41	0.82	0.53	99.48%
CP002685.1	7330327	7330509	7330327	7330518	0.45	0.47	0.55	0.53	100.00%
CP002685.1	7340028	7342485	7340089	7342485	0.55	0.49	0.61	0.63	97.52%
CP002685.1	7537340	7539401	7537343	7539401	0.98	0.98	0.75	0.74	99.85%
CP002685.1	7657608	7659255	7658245	7659624	0.95	0.84	0.34	0.30	61.35%
CP002685.1	8076962	8077177	8076381	8077507	0.44	0.93	0.42	0.65	100.00%
CP002685.1	8150716	8150874	8150719	8150874	0.13	0.13	0.70	0.70	98.11%
CP002685.1	8199910	8200035	8199913	8200023	0.09	0.08	0.83	0.90	88.10%
CP002685.1	8210732	8210863	8210621	8210854	0.15	0.21	0.73	0.38	93.18%
CP002685.1	8529919	8530173	8529907	8530173	1.00	0.26	0.93	0.46	100.00%
CP002685.1	8754561	8754916	8754486	8754925	0.36	0.35	0.59	0.51	100.00%
CP002685.1	8963661	8963991	8963664	8963991	0.68	0.67	0.65	0.65	99.09%
CP002685.1	8994149	8996537	8994152	8996695	0.96	0.99	0.94	0.87	99.87%
CP002685.1	9022940	9024178	9022943	9024178	1.00	1.00	0.73	0.92	99.76%
CP002685.1	9079296	9079488	9079299	9079488	1.00	0.99	0.65	0.65	98.45%
CP002685.1	9329659	9329778	9329662	9329778	0.26	0.25	0.93	0.85	97.50%
CP002685.1	9333005	9333250	9333008	9333250	0.72	0.71	0.80	0.89	98.78%
CP002685.1	9378519	9378808	9378566	9378838	0.13	0.19	0.48	0.46	83.79%
CP002685.1	9421697	9422461	9421688	9422898	0.49	0.69	0.58	0.54	100.00%
CP002685.1	9711465	9711632	9711477	9711632	0.14	0.13	0.86	0.91	92.86%
CP002685.1	9830968	9831087	9830953	9831090	0.15	0.18	0.78	0.66	100.00%
CP002685.1	9851132	9851622	9851129	9851646	0.27	0.28	0.89	0.59	100.00%
CP002685.1	9987630	9987961	9987627	9987961	0.43	0.60	0.50	0.50	100.00%
CP002685.1	10156544	10156890	10156550	10156890	0.30	0.29	0.84	0.79	98.27%
CP002685.1	10165995	10170262	10165998	10170262	1.00	1.00	0.65	0.62	99.93%
CP002685.1	10240880	10241411	10240855	10241664	0.82	0.99	0.57	0.53	100.00%
CP002685.1	10241506	10241664	10240855	10241664	0.28	0.99	0.51	0.53	100.00%
CP002685.1	10248024	10248655	10247997	10248655	0.91	0.97	0.72	0.86	100.00%
CP002685.1	10268182	10270634	10268185	10273598	1.00	1.00	0.56	0.53	99.88%
CP002685.1	10272691	10273598	10268185	10273598	0.34	1.00	0.49	0.53	100.00%
CP002685.1	10488048	10494947	10488045	10492207	0.29	0.30	0.49	0.50	60.29%
CP002685.1	10526789	10527025	10521278	10527025	0.19	0.28	0.82	0.83	100.00%
CP002685.1	10568247	10568579	10568250	10568591	0.38	0.39	0.52	0.51	99.10%
CP002685.1	10589548	10589754	10589602	10589754	0.48	0.35	0.80	0.67	73.91%
CP002685.1	10624507	10624773	10624510	10624773	0.19	0.19	0.90	0.90	98.88%
CP002685.1	10633769	10634463	10633772	10634417	0.29	0.53	0.58	0.59	92.95%
CP002685.1	10643805	10644109	10643808	10644109	0.43	0.42	0.65	0.65	99.02%
CP002685.1	10812651	10813238	10812612	10813238	0.48	0.43	0.43	0.38	100.00%
CP002685.1	11047401	11047734	11047446	11047734	0.27	0.24	0.45	0.36	86.53%
CP002685.1	11086342	11086708	11086373	11086699	0.24	0.28	0.68	0.49	89.10%
CP002685.1	11160099	11160713	11160069	11160716	0.96	0.33	0.40	0.41	100.00%
CP002685.1	11253784	11254758	11253787	11254758	1.00	0.99	0.72	0.79	99.69%
CP002685.1	11442615	11442888	11442618	11442888	0.26	0.21	0.91	0.85	98.91%
CP002685.1	11544834	11545031	11544832	11545031	0.38	0.12	0.79	0.63	100.00%
CP002685.1	11691517	11691621	11691520	11691621	0.17	0.16	0.77	0.77	97.14%
CP002685.1	11721066	11721324	11721075	11721324	0.26	0.25	0.87	0.82	96.53%
CP002685.1	11722575	11722850	11722578	11722774	0.22	0.10	0.69	0.55	71.38%
CP002685.1	11768071	11768392	11768074	11768392	0.38	0.38	0.94	0.94	99.07%
CP002685.1	11896927	11897618	11896984	11897648	0.61	0.55	0.55	0.45	91.76%
CP002685.1	12054889	12055991	12054883	12055997	0.98	0.97	0.48	0.35	100.00%
CP002685.1	12517194	12517675	12517170	12517584	0.17	0.15	0.62	0.60	81.12%
CP002685.1	12537873	12538209	12537545	12539427	0.37	0.80	0.83	0.68	100.00%
CP002685.1	12538702	12539415	12537545	12539427	0.74	0.80	0.82	0.68	100.00%
CP002685.1	12600377	12600538	12600380	12600550	0.19	0.20	0.63	0.59	98.15%
CP002685.1	12929896	12930132	12929896	12930132	0.46	0.16	0.62	0.57	100.00%
CP002685.1	13049710	13051035	13049515	13051773	0.62	1.00	0.28	0.58	100.00%
CP002685.1	13453334	13454991	13453337	13454614	0.61	0.49	0.73	0.79	77.08%
CP002685.1	13543079	13545266	13543262	13545266	0.98	0.92	0.53	0.61	91.64%
CP002685.1	14034630	14034787	14034633	14034760	0.16	0.12	0.68	0.70	81.01%
CP002685.1	14292661	14293012	14292664	14293002	0.31	0.40	0.64	0.40	96.31%
CP002685.1	14664701	14664859	14664713	14664907	0.12	0.15	0.81	0.69	92.45%
CP002685.1	14829868	14830101	14829871	14830101	0.85	0.84	0.95	0.95	98.72%
CP002685.1	14938537	14939888	14932158	14939844	0.97	0.99	0.75	0.45	96.75%
CP002685.1	15027810	15027989	15027860	15027980	0.89	0.67	0.72	0.81	67.22%
CP002685.1	15140412	15140583	15140437	15140583	0.33	0.27	0.62	0.62	85.47%
CP002685.1	15387446	15387712	15387449	15388392	0.08	0.81	0.81	0.78	98.88%
CP002685.1	15388158	15388392	15387449	15388392	0.08	0.81	0.75	0.78	100.00%
CP002685.1	15478672	15478895	15478675	15478827	0.51	0.24	0.46	0.58	68.30%
CP002685.1	16025651	16027094	16025660	16027319	0.37	0.40	0.88	0.87	99.38%
CP002685.1	16029692	16029948	16029680	16029969	0.15	0.17	0.74	0.69	100.00%
CP002685.1	16090757	16090884	16090643	16090873	0.11	0.20	0.79	0.36	91.41%
CP002685.1	16277204	16277564	16277207	16277505	0.11	0.12	0.73	0.87	82.83%
CP002685.1	16279121	16279273	16278183	16279273	0.25	0.36	0.85	0.86	100.00%
CP002685.1	17107944	17108156	17107926	17108156	0.42	0.16	0.65	0.61	100.00%
CP002685.1	17208648	17209390	17208824	17209390	0.63	0.43	0.48	0.65	76.31%
CP002685.1	17289123	17289273	17289126	17289291	0.20	0.21	0.78	0.80	98.01%
CP002685.1	17294194	17294397	17294197	17294397	0.40	0.23	0.91	0.91	98.53%
CP002685.1	17642621	17642961	17642709	17642975	0.66	0.71	0.64	0.32	74.19%
CP002685.1	17982947	17983271	17982950	17983271	0.20	0.20	0.67	0.67	99.08%
CP002685.1	18154631	18155183	18154831	18156444	0.18	0.81	0.67	0.90	63.83%
CP002685.1	18265568	18266787	18265571	18266787	0.94	0.94	0.74	0.74	99.75%
CP002685.1	18510703	18511236	18510706	18511053	0.35	0.23	0.52	0.72	65.17%
CP002685.1	18594149	18594813	18594152	18594813	0.22	0.21	0.50	0.59	99.55%
CP002685.1	18651347	18653053	18651338	18653053	0.99	1.00	0.58	0.58	100.00%
CP002685.1	18653894	18655057	18653897	18655051	0.64	0.64	0.26	0.26	99.23%
CP002685.1	18659370	18659606	18659373	18659606	0.19	0.18	1.00	1.00	98.73%
CP002685.1	18708615	18709063	18708618	18711700	0.41	0.98	0.68	0.79	99.33%
CP002685.1	19203141	19203260	19203144	19203260	1.00	0.97	0.75	0.75	97.50%
CP002685.1	19559627	19559829	19559630	19559820	0.14	0.13	0.74	0.78	94.09%
CP002687.1	40895	41359	40922	41359	0.21	0.20	0.73	0.76	94.19%
CP002687.1	141937	142611	141916	142564	0.49	0.53	0.46	0.89	93.04%
CP002687.1	178036	178155	178018	178170	0.17	0.21	0.81	0.54	100.00%
CP002687.1	272877	273176	272874	273215	0.19	0.19	0.48	0.38	100.00%
CP002687.1	313258	313386	313261	313386	0.08	0.07	0.70	0.70	97.67%
CP002687.1	378204	378637	378207	378658	0.33	0.34	0.56	0.45	99.31%
CP002687.1	401467	401862	401470	402076	0.12	0.13	0.85	0.83	99.24%
CP002687.1	422053	422196	422056	422196	0.17	0.17	0.85	0.85	97.92%
CP002687.1	489524	489868	489527	490083	0.38	0.45	0.59	0.66	99.13%
CP002687.1	529834	531949	529837	531949	0.72	0.72	0.65	0.85	99.86%
CP002687.1	667647	667943	667650	667943	0.52	0.52	0.87	0.87	98.99%
CP002687.1	686785	687158	686873	687158	0.28	0.20	0.84	0.83	76.47%
CP002687.1	815269	815349	815185	815349	0.29	0.21	1.00	0.69	100.00%
CP002687.1	836511	836784	836556	836784	0.50	0.36	0.65	0.69	83.58%
CP002687.1	863354	864247	863357	864247	0.99	0.99	0.45	0.45	99.66%
CP002687.1	982507	982692	982510	983548	0.06	0.09	0.68	0.67	98.39%
CP002687.1	1097687	1098559	1097675	1099699	0.88	0.99	0.61	0.67	100.00%
CP002687.1	1272962	1273366	1272956	1273351	0.84	0.50	0.58	0.26	96.30%
CP002687.1	1340384	1340692	1340378	1340692	0.28	0.20	0.65	0.51	100.00%
CP002687.1	1352004	1353848	1351992	1353854	0.96	0.99	0.60	0.65	100.00%
CP002687.1	1482992	1483178	1483010	1483164	0.08	0.07	0.66	0.66	82.89%
CP002687.1	1522577	1523303	1521862	1523218	0.41	0.66	0.54	0.52	88.31%
CP002687.1	1533308	1534374	1533365	1536667	0.59	0.63	0.43	0.57	94.66%
CP002687.1	1535204	1535317	1533365	1536667	0.06	0.63	0.84	0.57	100.00%
CP002687.1	1586041	1586453	1586035	1586453	0.08	0.08	0.64	0.76	100.00%
CP002687.1	1650717	1651756	1650723	1651975	0.94	0.89	0.84	0.33	99.42%
CP002687.1	1655928	1656623	1655942	1656692	0.52	0.77	0.63	0.73	97.99%
CP002687.1	1760021	1760158	1760024	1760158	0.30	0.29	0.67	0.67	97.83%
CP002687.1	1770424	1771229	1770400	1775291	0.97	0.86	0.33	0.44	100.00%
CP002687.1	1774623	1775234	1770400	1775291	0.79	0.86	0.34	0.44	100.00%
CP002687.1	1851342	1852127	1851342	1851964	0.26	0.23	0.39	0.38	79.26%
CP002687.1	2059668	2060056	2059671	2060056	0.80	0.80	0.79	0.79	99.23%
CP002687.1	2079331	2080744	2079368	2080840	0.91	0.95	0.46	0.42	97.38%
CP002687.1	2106584	2106987	2106578	2107011	0.89	0.96	0.47	0.45	100.00%
CP002687.1	2180579	2181390	2180218	2181390	0.83	0.99	0.65	0.84	100.00%
CP002687.1	2184077	2184340	2184080	2185223	0.75	0.99	0.89	0.86	98.86%
CP002687.1	2297083	2297591	2297086	2297451	0.17	0.14	0.54	0.57	71.91%
CP002687.1	2339199	2339387	2339202	2339387	0.16	0.16	0.49	0.49	98.41%
CP002687.1	2356733	2356889	2356306	2356889	0.78	0.94	0.76	0.78	100.00%
CP002687.1	2380868	2380987	2380871	2390156	0.07	0.71	0.85	0.74	97.50%
CP002687.1	2602345	2602550	2596882	2602506	0.09	0.32	0.51	0.55	78.64%
CP002687.1	2657527	2658232	2657530	2658223	0.85	0.84	0.43	0.75	98.30%
CP002687.1	2714271	2714419	2714274	2714419	0.10	0.09	0.96	0.96	97.99%
CP002687.1	2716586	2717243	2716586	2717330	0.75	0.69	0.52	0.28	100.00%
CP002687.1	2776691	2777292	2776694	2777174	0.59	0.48	0.78	0.91	79.90%
CP002687.1	2780248	2780718	2780251	2782642	0.71	0.74	0.60	0.62	99.36%
CP002687.1	2844609	2845016	2844579	2845016	0.90	0.98	0.82	0.79	100.00%
CP002687.1	2994392	2994574	2994395	2994574	0.21	0.20	1.00	1.00	98.36%
CP002687.1	3065357	3065508	3065250	3069802	0.37	0.28	0.77	0.50	100.00%
CP002687.1	3100516	3100807	3100519	3100807	0.52	0.52	0.84	0.79	98.97%
CP002687.1	3322473	3322811	3322445	3322783	0.17	0.15	0.69	0.51	91.74%
CP002687.1	3325724	3325861	3325709	3326931	0.11	0.92	0.72	0.64	100.00%
CP002687.1	3341689	3342123	3341815	3342591	1.00	0.64	0.69	0.74	71.03%
CP002687.1	3342418	3342591	3341815	3342591	0.30	0.64	0.93	0.74	100.00%
CP002687.1	3573787	3574320	3572987	3576767	0.88	0.91	0.39	0.70	100.00%
CP002687.1	3656284	3656421	3652845	3658360	0.11	0.90	0.74	0.72	100.00%
CP002687.1	3667873	3668724	3667858	3668724	0.78	0.70	0.64	0.63	100.00%
CP002687.1	3673190	3675759	3673277	3675692	1.00	0.84	0.46	0.47	94.01%
CP002687.1	3705873	3706121	3705426	3709811	0.23	0.92	0.50	0.70	100.00%
CP002687.1	3707641	3707814	3705426	3709811	0.28	0.92	0.71	0.70	100.00%
